unstop_id,full_name,college_email,college_name,city,registration_time,weekly_challenge_id,utm_source,utm_campaign,browser_fingerprint
UN-00338,Poonam warm,poonam.warm@iitd.ac.in,IITD,Munger,2024-01-01T10:13:43Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,7dc372a5-a95e-541e-8020-a5bdf2cefd69
UN-00339,Nal practicality,nal.practicality@bits-pilani.ac.in,BITS-PILANI,Theni,2024-01-01T08:07:53Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,391696b9-72b2-7b1e-51c7-069897b3c613
UN-00340,Girja culture,girja.culture@iiit-hyd.ac.in,IIIT-HYD,Samastipur,2024-01-01T06:11:07Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,f44e5921-4ca0-7ea9-0dae-af91a5cc1226
UN-00341,Dorjee spirit,dorjee.spirit@bits-pilani.ac.in,BITS-PILANI,Changlang,2024-01-01T12:37:30Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,3c9c7556-c6aa-b34c-652e-6b68feb5156a
UN-00342,Sandeep cautious,sandeep.cautious@bits-pilani.ac.in,BITS-PILANI,Saraikela,2024-01-01T14:34:45Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,127dfad3-5008-14f9-0017-cbc2ab2ccbc7
UN-00343,Mathew Nair,mathew.nair@iitb.ac.in,IITB,Thrissur,2024-01-02T14:08:58Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,37895620-5214-11c6-1dbc-4fa6cbab66f0
UN-00344,Vidya Kumari,vidya.kumari@srm.ac.in,SRM,Farrukhabad,2024-01-01T08:46:53Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,f7855302-9e7e-97ee-5dc5-e35adda150a9
UN-00345,Shovarani Bauri,shovarani.bauri@iitb.ac.in,IITB,Barddhaman,2024-01-01T09:50:32Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,da009893-4b5d-80ec-796c-5c2689242439
UN-00346,Kumar Murthi,kumar.murthi@iitd.ac.in,IITD,Guntur,2024-01-01T03:51:29Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,1e0fd9db-bdfe-0446-033d-fad64c6da363
UN-00347,Pusna Barik,pusna.barik@iitd.ac.in,IITD,Cuttack,2024-01-01T08:23:08Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,b1ba0a71-a335-f0c1-a0aa-1ab0a8261caf
UN-00348,Jiaur disciplined,jiaur.disciplined@vit.ac.in,VIT,Chirang,2024-01-01T07:20:32Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,cc7dac26-739d-b635-8662-ebb4efd2d48c
UN-00349,Rupesh passion,rupesh.passion@iitb.ac.in,IITB,Mumbai,2024-01-02T06:03:45Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,f933be7d-d877-beee-5c18-e2aa6fb73c08
UN-00350,Rameshwaramma relaxed,rameshwaramma.relaxed@iitd.ac.in,IITD,Medak,2024-01-01T06:57:58Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,c2b6855d-4b93-616c-c1fd-b3b2669327af
UN-00351,Khushbu curiosity‑driven,khushbu.curiositydriven@iiit-hyd.ac.in,IIIT-HYD,Vaishali,2024-01-01T06:05:01Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,ce882863-4c97-83fc-660c-07ae8c52142e
UN-00352,Prerna crafts,prerna.crafts@dtu.ac.in,DTU,Udaipur,2024-01-01T07:42:16Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,e12d3d29-00e7-c3ad-bb89-b0bedd829be2
UN-00353,Seema perfection,seema.perfection@bits-pilani.ac.in,BITS-PILANI,Munger,2024-01-01T15:18:50Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,54e8bf4a-b552-4808-dbcd-d9cc43ee8f10
UN-00354,Jitendra budgeting,jitendra.budgeting@vit.ac.in,VIT,Nalanda,2024-01-01T04:12:46Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,a61bca18-d62b-17ba-c9e7-fba6cdb7ad6f
UN-00355,Bulakhe curiosity,bulakhe.curiosity@vit.ac.in,VIT,Ahmadnagar,2024-01-01T07:40:27Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,e57e1fda-8b03-1ce4-15fe-47439a2a609b
UN-00356,Tarabai craftsmanship,tarabai.craftsmanship@srm.ac.in,SRM,Mumbai Suburban,2024-01-01T03:56:34Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,51c19942-2309-7c26-b89f-9fc670e6b403
UN-00357,Kusan warm,kusan.warm@iiit-hyd.ac.in,IIIT-HYD,Osmanabad,2024-01-01T08:18:45Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,90a712f5-1b30-f729-5b3b-294a959ff186
UN-00358,Kusum curiosity,kusum.curiosity@iitk.ac.in,IITK,Mirzapur,2024-01-01T06:27:59Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,0a1df40f-d5a7-c7cf-77d9-a926a530a256
UN-00359,Rahim Sekh,rahim.sekh@iitk.ac.in,IITK,Maldah,2024-01-01T12:27:24Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,aee39459-52d6-f2f1-777b-597e6941408b
UN-00360,Nalvaya creativity,nalvaya.creativity@manipal.ac.in,MANIPAL,Banas Kantha,2024-01-02T10:37:26Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,b215f89f-ddcd-9fa4-fa66-5ddbae91ae6f
UN-00361,Shobha poetry,shobha.poetry@nit-trichy.ac.in,NIT-TRICHY,South,2024-01-02T05:49:44Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,58753159-e3a6-b6e0-4e9b-c679d60bdb43
UN-00362,Anjamma rituals,anjamma.rituals@iiit-hyd.ac.in,IIIT-HYD,Prakasam,2024-01-01T07:19:59Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,4d25169b-eea3-970a-4051-3bcd878b2b3f
UN-00363,Durga kolam,durga.kolam@srm.ac.in,SRM,Dindigul,2024-01-01T13:20:53Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,07b3af96-da77-55bb-c009-ee362a1f90de
UN-00364,Balancing savings,balancing.savings@srm.ac.in,SRM,Bilaspur,2024-01-01T05:10:34Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,35c007ba-bf6f-d62d-9ca6-12fc2d4826f3
UN-00365,Rajendra sociable,rajendra.sociable@manipal.ac.in,MANIPAL,Shajapur,2024-01-01T07:47:46Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,88007347-64e5-2e78-2f26-5f7feda9741e
UN-00366,Fullo Mirkam,fullo.mirkam@nit-trichy.ac.in,NIT-TRICHY,Koriya,2024-01-02T11:41:54Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,59d99a81-c535-039f-6d18-90a33074605e
UN-00367,Victoria gentle,victoria.gentle@manipal.ac.in,MANIPAL,Ukhrul,2024-01-02T08:58:11Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,e6d368e4-6200-6f90-0ea7-ed782827567b
UN-00368,Pogiri Reddy,pogiri.reddy@iiit-hyd.ac.in,IIIT-HYD,Guntur,2024-01-01T06:21:42Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,d7a80fee-fdf1-7fc7-d370-b6fdff371cd5
UN-00369,Najma Begam,najma.begam@bits-pilani.ac.in,BITS-PILANI,Agra,2024-01-02T09:04:17Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,700992f6-8c56-cc55-cc6c-dad1d6b66dcc
UN-00370,Venkataratnam curiosity,venkataratnam.curiosity@nit-trichy.ac.in,NIT-TRICHY,Mahbubnagar,2024-01-01T04:26:21Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,a7a91f50-f3f6-1d85-6c39-e7e34f9df1de
UN-00371,Maya Patel,maya.patel@srm.ac.in,SRM,Shrawasti,2024-01-01T01:44:25Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,3163559e-2699-c1d7-91ab-f45502c7d129
UN-00372,Subal Mandal,subal.mandal@nit-trichy.ac.in,NIT-TRICHY,Paschim Medinipur,2024-01-01T08:41:39Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,fb7ce110-ffff-0377-bf16-cba0e67eabb7
UN-00373,Surendra talkative,surendra.talkative@iitb.ac.in,IITB,Baleshwar,2024-01-01T12:49:58Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,a634af37-d038-ad54-c160-83337b5abfad
UN-00374,Chandani Mahat,chandani.mahat@dtu.ac.in,DTU,Hugli,2024-01-02T02:35:07Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,e3827a42-1e62-0761-377e-d1938a9fcfe4
UN-00375,Manju vibrant,manju.vibrant@iitk.ac.in,IITK,Buxar,2024-01-01T06:04:02Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,25d88ce5-bc8c-b45a-5e4d-73a461f41717
UN-00376,Julyas Kindo,julyas.kindo@nit-trichy.ac.in,NIT-TRICHY,Simdega,2024-01-01T14:07:36Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,ccac36be-144a-f07b-ad13-d5a07ac0b052
UN-00377,Rohitbhai hands‑on,rohitbhai.handson@iitb.ac.in,IITB,Dohad,2024-01-01T03:37:47Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,31f95a07-ff36-c5bd-876a-7cbde41028b2
UN-00378,Ram Singh,ram.singh@iiit-hyd.ac.in,IIIT-HYD,Sitapur,2024-01-01T04:06:39Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,1c975ca1-307b-9313-ebcd-773a3ce92cdd
UN-00379,Digambar sociable,digambar.sociable@iitk.ac.in,IITK,Morigaon,2024-01-01T06:02:25Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,d5d6346b-1511-0d2f-69b2-85694d99fbd9
UN-00380,Parameshwari media,parameshwari.media@iitd.ac.in,IITD,Puruliya,2024-01-02T04:39:45Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,6b017791-a508-d456-8df1-61de661eaf54
UN-00381,Thole creativity,thole.creativity@iitd.ac.in,IITD,Raigarh,2024-01-01T04:49:07Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,37d31c73-e479-f125-cb3c-2c88f92944fd
UN-00382,Jayant curious,jayant.curious@nit-trichy.ac.in,NIT-TRICHY,Mahrajganj,2024-01-01T08:07:20Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,1301a52c-18e0-4d95-545e-4eb0df8eab31
UN-00383,Gurmeet Singh,gurmeet.singh@iitd.ac.in,IITD,Moga,2024-01-02T10:33:36Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,66d74762-608c-763d-80fc-ab82bace2def
UN-00384,Guddi bricks,guddi.bricks@nit-trichy.ac.in,NIT-TRICHY,Dungarpur,2024-01-01T08:20:59Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,33ca42ad-efe6-fa79-e7bf-6dc497e7b334
UN-00385,Askar User,askar.user@iitd.ac.in,IITD,Nagaur,2024-01-01T07:30:03Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,622526f2-815b-b9c9-0619-e0cd861c6b8f
UN-00386,Raj walks,raj.walks@iitd.ac.in,IITD,Gorakhpur,2024-01-01T06:34:33Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,c59dcd22-f1a8-53ed-ed29-4aa0b5d725ce
UN-00387,Tamil art,tamil.art@iitb.ac.in,IITB,Virudhunagar,2024-01-01T04:52:36Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,89cb78ce-6452-57ef-d047-22f4754d168a
UN-00388,Lokesh practical,lokesh.practical@vit.ac.in,VIT,Lucknow,2024-01-02T12:30:35Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,3ee2d2f9-dba6-a442-f277-460ffae45a54
UN-00389,Ranjith curiosity,ranjith.curiosity@dtu.ac.in,DTU,Tirunelveli,2024-01-01T08:29:09Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,ea64cb4f-6cc5-a7bf-9251-e2cf04cfd857
UN-00390,Mallappa Teli,mallappa.teli@dtu.ac.in,DTU,Tumkur,2024-01-01T05:17:32Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,7a1655d5-bbfa-4167-408b-8d53382fbdc4
UN-00391,Vapey Kumar,vapey.kumar@srm.ac.in,SRM,Vellore,2024-01-02T02:32:24Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,e4c4ca16-a109-2dad-cee6-e465551bf771
UN-00392,Bhil Borsiya,bhil.borsiya@bits-pilani.ac.in,BITS-PILANI,Surendranagar,2024-01-01T08:03:07Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,c9bfe059-b242-b804-b960-e70719619418
UN-00393,Gangayya Annaveni,gangayya.annaveni@nit-trichy.ac.in,NIT-TRICHY,Nalgonda,2024-01-01T03:40:19Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,d26eceaf-406a-3ba6-d678-02da053b591d
UN-00394,Sudindra Jeeragal,sudindra.jeeragal@iitb.ac.in,IITB,Kolar,2024-01-01T05:46:12Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,a76f4554-36dc-9393-dc12-d1fa12964712
UN-00395,Shree curiosity,shree.curiosity@bits-pilani.ac.in,BITS-PILANI,Udupi,2024-01-01T05:50:23Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,6421cf1a-a360-2cc4-9754-a7a62f85dd5a
UN-00396,Sulata Das,sulata.das@manipal.ac.in,MANIPAL,Paschim Medinipur,2024-01-02T06:59:51Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,d27d1563-ae5f-ca27-affe-cf0d8150e6df
UN-00397,Srinivasarao edge,srinivasarao.edge@manipal.ac.in,MANIPAL,Visakhapatnam,2024-01-01T08:27:47Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,e784f9a1-faa7-b18a-5926-423baca381ad
UN-00398,Krishna Randhi,krishna.randhi@iitd.ac.in,IITD,Kurnool,2024-01-02T12:33:33Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,b44609ba-4a2c-af9b-6a62-10c20b76e91a
UN-00399,Dethe poetry,dethe.poetry@srm.ac.in,SRM,Nashik,2024-01-01T11:17:00Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,48bdfa97-7f6c-9858-c5d0-fbcd6bde97a9
UN-00400,Vijay photography,vijay.photography@iitd.ac.in,IITD,Bangalore,2024-01-01T11:43:07Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,f0032b46-0081-bdca-d548-bf0baad6dd89
UN-00401,Ram talkative,ram.talkative@iitk.ac.in,IITK,Gurdaspur,2024-01-02T15:22:26Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,0e893d7a-7d9d-8d8a-1b83-e07509d2ad9f
UN-00402,Manju schedule,manju.schedule@iitb.ac.in,IITB,Jaipur,2024-01-01T01:45:07Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,035310cc-91df-f04a-c0cd-00431f2ec915
UN-00403,Vimala methodical,vimala.methodical@dtu.ac.in,DTU,Shajapur,2024-01-02T10:51:57Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,a6b0bb02-cfd4-f432-a958-a1a23c200d0a
UN-00404,Ramavati calm,ramavati.calm@iiit-hyd.ac.in,IIIT-HYD,Rohtas,2024-01-01T10:56:51Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,666802ce-3318-4dca-8064-f62f239a8645
UN-00405,Laily solitary,laily.solitary@iitd.ac.in,IITD,Barpeta,2024-01-01T14:50:10Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,19e3c0cb-dda7-233c-920b-49a77b4e8a63
UN-00406,Monisha Ray,monisha.ray@iitd.ac.in,IITD,Puruliya,2024-01-01T07:15:16Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,4e6a20f1-b44a-c1e7-bf5e-6f3ec34f28e9
UN-00407,Mami calm,mami.calm@srm.ac.in,SRM,Balangir,2024-01-01T03:40:30Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,3c41a5fd-3131-d755-ba43-5c3835056714
UN-00408,Swati Devi,swati.devi@iitb.ac.in,IITB,Saran,2024-01-02T09:07:20Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,87a17a22-c856-6557-ef62-66e469f8750c
UN-00409,Shekhar life,shekhar.life@iitd.ac.in,IITD,Baleshwar,2024-01-01T09:45:27Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,d91432e5-1598-18bb-7932-3e24efd726c2
UN-00410,Sanjit Barman,sanjit.barman@bits-pilani.ac.in,BITS-PILANI,Paschim Medinipur,2024-01-01T04:16:18Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,6eaae8af-d5bc-1e57-908a-bac38ea490a9
UN-00411,Sabitri Devi,sabitri.devi@iitd.ac.in,IITD,Mahrajganj,2024-01-02T03:56:22Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,4a0557a4-0f0a-05aa-3365-6de8238bc838
UN-00412,Manisha Devi,manisha.devi@dtu.ac.in,DTU,Mirzapur,2024-01-01T06:45:21Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,580a7d1d-9cab-4470-72ae-ee0a86313ae1
UN-00413,Mumthas calm,mumthas.calm@dtu.ac.in,DTU,Kasaragod,2024-01-02T12:34:14Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,c08c5ea7-b2a5-2220-01ac-d51cdc5e79ac
UN-00414,Saku Thakre,saku.thakre@srm.ac.in,SRM,Vidisha,2024-01-01T04:38:51Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,8e4ae04a-0c41-da22-979d-5edbdb078bf7
UN-00415,Raja Rao,raja.rao@dtu.ac.in,DTU,Thanjavur,2024-01-01T08:01:53Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,7bc3d6c9-3fad-2ef5-d8ff-e96c0b287fb1
UN-00416,Mallappa Chimmalgi,mallappa.chimmalgi@iitb.ac.in,IITB,Ramanagara,2024-01-01T03:59:46Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,5835f1f7-c7ab-a4fa-0f67-423b7e2e06b2
UN-00417,Rajesh Panthi,rajesh.panthi@manipal.ac.in,MANIPAL,Ujjain,2024-01-02T03:44:16Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,40d06f76-78c3-0c06-f1c0-91e399499c05
UN-00418,Meena Devi,meena.devi@iiit-hyd.ac.in,IIIT-HYD,Palamu,2024-01-01T06:42:31Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,175a1025-ec8b-e32f-7560-0af23aee3ede
UN-00419,Rekha Devi,rekha.devi@manipal.ac.in,MANIPAL,Shrawasti,2024-01-02T15:01:55Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,ac7464d9-cd33-fd02-03f1-f1e4d6eddcde
UN-00420,Pavithram compassion,pavithram.compassion@manipal.ac.in,MANIPAL,Tirunelveli,2024-01-02T15:18:42Z,WC-2024-W01,unstop,weekly-challenge-jan-w1,b8e7ab62-762b-efc8-dbd7-4ca922ce2f30
